क्रस,प्रदेश,स्थानीय तहको नाम,जिल्ला,वेवसाईट,कार्यालयको ईमेल,सम्पर्क फोन,बिस्तृतमा
१८८,मधेश प्रदेश,धनौजी गाउँपालिका,धनुषा,http://dhanaujimun.gov.np,info@dhanaujimun.gov.np,9844297535,
१८९,मधेश प्रदेश,नगराइन नगरपालिका,धनुषा,http://nagrainmun.gov.np,nagarainmun@gmail.com,9854029772,
१९०,मधेश प्रदेश,मुखियापट्टि मुसहरमिया गाउँपालिका,धनुषा,http://mukhiyapattimusaharmiyamun.gov.np,mukhiyapattimun@gmail.com,9854029842,
१९१,मधेश प्रदेश,बर्दिबास नगरपालिका,महोत्तरी,http://bardibasmun.gov.np,bardibasmunicipality@gmail.com,9854055111,
१९२,मधेश प्रदेश,गौशाला नगरपालिका,महोत्तरी,http://gaushalamun.gov.np,info@gaushalamun.gov.np,044-556139,
१९३,मधेश प्रदेश,सोनमा गाउँपालिका,महोत्तरी,http://sonmamun.gov.np,sonamarm2073@gmail.com,9819681465,
१९४,मधेश प्रदेश,औरही नगरपालिका,महोत्तरी,http://aurahimunmahottari.gov.np,aurahimunmahottari@gmail.com,041-411052,
१९५,मधेश प्रदेश,भँगाहा नगरपालिका,महोत्तरी,http://bhagahamun.gov.np,bhangahamun@gmail.com,9854032003,
१९६,मधेश प्रदेश,लोहरपट्टी नगरपालिका,महोत्तरी,http://loharpattimun.gov.np,loharpattimunicipality@gmail.com,9801631314,
१९७,मधेश प्रदेश,बलवा नगरपालिका,महोत्तरी,http://balwamun.gov.np,info@balwamun.gov.np,9803280142,
१९८,मधेश प्रदेश,रामगोपालपुर नगरपालिका,महोत्तरी,http://ramgopalpurmun.gov.np,info@ramgopalpurmun.gov.np,044410078,
१९९,मधेश प्रदेश,साम्सी गाउँपालिका,महोत्तरी,http://samsimun.gov.np,info@samsimun.gov.np,9854032013,
२००,मधेश प्रदेश,मनरा सिसवा नगरपालिका,महोत्तरी,http://manarashiswamun.gov.np,ito.manrasishwamun@gmail.com,9864042450,
२०१,मधेश प्रदेश,एकडारा गाउँपालिका,महोत्तरी,http://ekdaramun.gov.np,info@ekdaramun.gov.np,9818709767,
२०२,मधेश प्रदेश,महोत्तरी गाउँपालिका,महोत्तरी,http://mahottarimun.gov.np,mahottarimun@gmail.com,9854032300,
२०३,मधेश प्रदेश,पिपरा गाउँपालिका,महोत्तरी,http://pipramun.gov.np,info@pipramun.gov.np,044-548047,
२०४,मधेश प्रदेश,मटिहानी नगरपालिका,महोत्तरी,http://matihanimun.gov.np,info@matihanimun.gov.np,9854032813,
२०५,मधेश प्रदेश,जलेश्वर नगरपालिका,महोत्तरी,http://jaleshwarmun.gov.np,info.jaleshwarmun@gmail.com,9854031770,
२०६,मधेश प्रदेश,लालबन्दी नगरपालिका,सर्लाही,http://lalbandimun.gov.np,info@lalbandimun.gov.np,046-501100,
२०७,मधेश प्रदेश,हरिवन नगरपालिका,सर्लाही,http://harionmun.gov.np,info@harionmun.gov.np,046-530499,
२०८,मधेश प्रदेश,बागमती नगरपालिका,सर्लाही,http://bagmatimunsarlahi.gov.np,bagmatimun@gmail.com,046-410008,
२०९,मधेश प्रदेश,बरहथवा नगरपालिका,सर्लाही,http://barhathwamun.gov.np,barahathawamun@gmail.com,046-540310,
२१०,मधेश प्रदेश,हरिपुर नगरपालिका,सर्लाही,http://haripurmun.gov.np,info@haripurmun.gov.np,046-411032,
२११,मधेश प्रदेश,ईश्वरपुर नगरपालिका,सर्लाही,http://ishworpurmun.gov.np,ishworpur2071@gmail.com,9854042111,
२१२,मधेश प्रदेश,हरिपुर्वा नगरपालिका,सर्लाही,http://haripurwamun.gov.np,ito.haripurwamun@gmail.com,9844112849,
२१३,मधेश प्रदेश,पर्सा गाउँपालिका,सर्लाही,http://parsamun.gov.np,info@parsamun.gov.np,9854074000,
२१४,मधेश प्रदेश,ब्रह्मपुरी गाउँपालिका,सर्लाही,http://brahmapurimun.gov.np,brahmpurigp.sarlahi@gmail.com,9854036499,
२१५,मधेश प्रदेश,चन्द्रनगर गाउँपालिका,सर्लाही,http://chandranagarmun.gov.np,chandranagar111@gmail.com,9802045020,
२१६,मधेश प्रदेश,कबिलासी नगरपालिका,सर्लाही,http://kawilasimun.gov.np,kabilasimun@gmail.com,9854035829,
२१७,मधेश प्रदेश,चक्रघट्टा गाउँपालिका,सर्लाही,http://chakraghattamun.gov.np,info@chakraghattamun.gov.np,9851034392,
२१८,मधेश प्रदेश,बसबरीया गाउँपालिका,सर्लाही,http://basbariyamun.gov.np,basbariyamun@gmail.com,9854038064,
२१९,मधेश प्रदेश,धनकौल गाउँपालिका,सर्लाही,http://dhankaulmun.gov.np,dhankaul.gaupalika@gmail.com,9864201416,
२२०,मधेश प्रदेश,रामनगर गाउँपालिका,सर्लाही,http://ramnagarmun.gov.np,info@ramnagarmun.gov.np,9842738749,
२२१,मधेश प्रदेश,बलरा नगरपालिका,सर्लाही,http://balramun.gov.np,info@balramun.gov.np,9845134743,
२२२,मधेश प्रदेश,गोडैटा नगरपालिका,सर्लाही,http://godaitamun.gov.np,godaitamunicipality@gmail.com,9854038382,
२२३,मधेश प्रदेश,विष्णु गाउँपालिका,सर्लाही,http://bishnumun.gov.np,info@bishnumun.gov.np,9854039542,
२२४,मधेश प्रदेश,कौडेना गाउँपालिका,सर्लाही,http://kaudenamun.gov.np,ito.kaudenamun@gmail.com,9801130333,
२२५,मधेश प्रदेश,मलंगवा नगरपालिका,सर्लाही,http://malangwamun.gov.np,malangwanagarpalika@gmail.com,046-520175,
२२६,मधेश प्रदेश,चन्द्रपुर नगरपालिका,रौतहट,http://chandrapurmun.gov.np,info@chandrapurmun.gov.np,055-540200,
२२७,मधेश प्रदेश,गुजरा नगरपालिका,रौतहट,http://gujaramun.gov.np,info@gujaramun.gov.np,9845021100,
२२८,मधेश प्रदेश,फतुवा विजयपुर नगरपालिका,रौतहट,http://phatuwabijaypurmun.gov.np,fatuwabijaypur@gmail.com,9845041457,
२२९,मधेश प्रदेश,कटहरीया नगरपालिका,रौतहट,http://katahariyamun.gov.np,katahariyamun@gmail.com,9855067803,
२३०,मधेश प्रदेश,वृन्दावन नगरपालिका,रौतहट,http://brindawanmun.gov.np,brindawanmun@gmail.com,9855041097,
२३१,मधेश प्रदेश,गढीमाई नगरपालिका,रौतहट,http://gadhimaimun.gov.np,gadhimaimun@gmail.com,9865050201,
२३२,मधेश प्रदेश,माधवनारायण नगरपालिका,रौतहट,http://madhavnarayanmun.gov.np,info@madhavnarayanmun.gov.np,9855044025,
२३३,मधेश प्रदेश,गरुडा नगरपालिका,रौतहट,http://garudamun.gov.np,ito.garudamun@gmail.com,055-565201,
२३४,मधेश प्रदेश,देवाही गोनाही नगरपालिका,रौतहट,http://dewahigonahimun.gov.np,dewahigonahimun@gmail.com,9855040145,
२३५,मधेश प्रदेश,मौलापुर नगरपालिका,रौतहट,http://maulapurmun.gov.np,maulapurmun@gmail.com,9999999999,
२३६,मधेश प्रदेश,बौधीमाई नगरपालिका,रौतहट,http://baudhimaimun.gov.np,baudhimaimun@gmail.com,9855044677,
२३७,मधेश प्रदेश,परोहा नगरपालिका,रौतहट,http://parohamun.gov.np,info@parohamun.gov.np,9855043003,
२३८,मधेश प्रदेश,राजपुर नगरपालिका,रौतहट,http://rajpurmunrautahat.gov.np,ito@rajpurmunrautahat.gov.np,९८५५०४४०२४,
२३९,मधेश प्रदेश,यमुनामाई गाउँपालिका,रौतहट,http://yamunamaimun.gov.np,yamunamai5@gmail.com,9855044613,
२४०,मधेश प्रदेश,दुर्गाभगवती गाउँपालिका,रौतहट,http://durgabhagawatimun.gov.np,ito.durgabhagawatimun@gmail.com,055-400041,
२४१,मधेश प्रदेश,राजदेवी नगरपालिका,रौतहट,http://rajdevimun.gov.np,rajdevimata123@gmail.com,9855040127,
२४२,मधेश प्रदेश,गौर नगरपालिका,रौतहट,http://gaurmun.gov.np,info@gaurmun.gov.np,055-520294,
२४३,मधेश प्रदेश,ईशनाथ नगरपालिका,रौतहट,http://ishnathmun.gov.np,info@ishnathmun.gov.np,9855040373,
२४४,मधेश प्रदेश,निजगढ नगरपालिका,बारा,http://nijgadhmun.gov.np,nijgadhmun@gmail.com,053-540200,
२४५,मधेश प्रदेश,कोल्हवी नगरपालिका,बारा,http://kolhabimun.gov.np,info@kolhabimun.gov.np,"053-410115,",
२४६,मधेश प्रदेश,जितपुर-सिमरा उप-महानगरपालिका,बारा,http://jeetpursimaramun.gov.np,jeetpursimarasubmetropolitan@gmail.com,053-412173,
२४७,मधेश प्रदेश,परवानीपुर गाउँपालिका,बारा,http://parwanipurmun.gov.np,parwanipurgaupalika@gmail.com,"9855048565,",
२४८,मधेश प्रदेश,प्रसौनी गाउँपालिका,बारा,http://prasaunimun.gov.np,prasaunigaupalika1@gmail.com,9855048303,
२४९,मधेश प्रदेश,विश्रामपुर गाउँपालिका,बारा,http://bishrampurmun.gov.np,bishrampurgapa@gmail.com,9855045751,
२५०,मधेश प्रदेश,फेटा गाउँपालिका,बारा,http://phetamun.gov.np,info@phetamun.gov.np,9855048203,
२५१,मधेश प्रदेश,कलैया उप-महानगरपालिका,बारा,http://kalaiyamun.gov.np,kalaiyamun@gmail.com,053-550135,
२५२,मधेश प्रदेश,करैयामाई गाउँपालिका,बारा,http://karaiyamaimun.gov.np,info@karaiyamaimun.gov.np,9855048988,
२५३,मधेश प्रदेश,बारागढी गाउँपालिका,बारा,http://baragadhimun.gov.np,ito.baragadhimun@gmail.com,9817222342,
२५४,मधेश प्रदेश,आदर्श कोतवाल गाउँपालिका,बारा,http://aadarshakotwalmun.gov.np,info@aadarshakotwalmun.gov.np,9855049296,
२५५,मधेश प्रदेश,सिम्रौनगढ नगरपालिका,बारा,http://simraungadhmun.gov.np,simraungadhmun@gmail.com,053-411072,
२५६,मधेश प्रदेश,पचरौता नगरपालिका,बारा,http://pachrautamun.gov.np,pachrautamun@gmail.com,9855048464,
२५७,मधेश प्रदेश,महागढीमाई नगरपालिका,बारा,http://mahagadhimaimun.gov.np,info@mahagadhimaimun.gov.np,053-(419800-419806),
२५८,मधेश प्रदेश,देवताल गाउँपालिका,बारा,http://devtalmun.gov.np,info@devtalmun.gov.np,9855048006,
२५९,मधेश प्रदेश,सुवर्ण गाउँपालिका,बारा,http://suwarnamun.gov.np,suwarnamun@gmail.com,9845603025,
२६०,मधेश प्रदेश,ठोरी गाउँपालिका,पर्सा,http://thorimun.gov.np,ito.thorirmun@gmail.com,9849361387,
२६१,मधेश प्रदेश,जिराभवानी गाउँपालिका,पर्सा,http://jirabhawanimun.gov.np,ito.jirabhawanimun@gmail.com,9855015100,
२६२,मधेश प्रदेश,जगरनाथपुर गाउँपालिका,पर्सा,http://jagarnathpurmun.gov.np,jagarnathpurrm@gmail.com,9855022509,
२६३,मधेश प्रदेश,पटेर्वा सुगौली गाउँपालिका,पर्सा,http://paterwasugaulimun.gov.np,info@paterwasugaulimun.gov.np,9855088233,
२६४,मधेश प्रदेश,सखुवा प्रसौनी गाउँपालिका,पर्सा,http://sakhuwaprasaunimun.gov.np,info@sakhuwaprasaunimun.gov.np,9851155165,
२६५,मधेश प्रदेश,पर्सागढी नगरपालिका,पर्सा,http://parsagadhimun.gov.np,info@parsagadhimun.gov.np,"9855011112,9855038425",
२६६,मधेश प्रदेश,वीरगञ्ज महानगरपालिका,पर्सा,http://birgunjmun.gov.np,info@birgunjmun.gov.np,051-522802,
२६७,मधेश प्रदेश,बहुदरमाई नगरपालिका,पर्सा,http://bahudarmaimun.gov.np,bahudarmaimun@gmail.com,9855011114,
२६८,मधेश प्रदेश,पोखरिया नगरपालिका,पर्सा,http://pokhariyamun.gov.np,ito.pokhariyamun@gmail.com,9855037003,
२६९,मधेश प्रदेश,कालिकामाई गाउँपालिका,पर्सा,http://kalikamaimun.gov.np,info@kalikamaimun.gov.np,9855011118,
२७०,मधेश प्रदेश,धोबीनी गाउँपालिका,पर्सा,http://dhobinimun.gov.np,dhobinimun@gmail.com,9855077705,
२७१,मधेश प्रदेश,छिपहरमाई गाउँपालिका,पर्सा,http://chhipaharmaimun.gov.np,info@chhipaharmaimun.gov.np,9855036084,
२७२,मधेश प्रदेश,पकाहा मैनपुर गाउँपालिका,पर्सा,http://pakahamainpurmun.gov.np,pakahamainpurmun@gmail.com,"9855016345,",
२७३,मधेश प्रदेश,बिन्दबासिनी गाउँपालिका,पर्सा,http://bindabasinimun.gov.np,ito.bindabasinimun@gmail.com,9855085527,
२७४,बागमती प्रदेश,गौरीशङ्कर गाउँपालिका,दोलखा,http://gaurishankarmun.gov.np,gs.dolakha@gmail.com,049691351,
२७५,बागमती प्रदेश,विगु गाउँपालिका,दोलखा,http://bigumun.gov.np,info@bigumun.gov.np,049-410109,
२७६,बागमती प्रदेश,कालिन्चोक गाउँपालिका,दोलखा,http://kalinchowkmun.gov.np,kalinchokrmdolakha@gmail.com,049691330,
२७७,बागमती प्रदेश,वैतेश्वर गाउँपालिका,दोलखा,http://baiteshwormun.gov.np,info@baiteshwormun.gov.np,9851249203,
२७८,बागमती प्रदेश,जिरी नगरपालिका,दोलखा,http://jirimun.gov.np,jirimunicipalityjiri@gmail.com,049-414002,
२७९,बागमती प्रदेश,तामाकोशी गाउँपालिका,दोलखा,http://tamakoshimun.gov.np,info@tamakoshimun.gov.np,9851205684,
२८०,बागमती प्रदेश,मेलुङ्ग गाउँपालिका,दोलखा,http://melungmun.gov.np,info@melungmun.gov.np,9851149201,
२८१,बागमती प्रदेश,शैलुङ्ग गाउँपालिका,दोलखा,http://shailungmun.gov.np,info@shailungmun.gov.np,049-419507,
२८२,बागमती प्रदेश,भिमेश्वर नगरपालिका,दोलखा,http://bhimeshwormun.gov.np,ict.bhimeshwor@gmail.com,049-421381,
२८३,बागमती प्रदेश,भोटेकोशी गाउँपालिका,सिन्धुपाल्चोक,http://bhotekoshimun.gov.np,info@bhotekoshimun.gov.np,"01-1480015,",
२८४,बागमती प्रदेश,जुगल गाउँपालिका,सिन्धुपाल्चोक,http://jugalmun.gov.np,jugalgaupalika12@gmail.com,011-691054,
२८५,बागमती प्रदेश,पाँचपोखरी थाङपाल गाउँपालिका,सिन्धुपाल्चोक,http://panchpokharithangpalmun.gov.np,ito.panchpokharithangpalmun@gmail.com,9751099842,
२८६,बागमती प्रदेश,हेलम्बु गाउँपालिका,सिन्धुपाल्चोक,http://helambumun.gov.np,info@helambumun.gov.np,9851184111,
२८७,बागमती प्रदेश,मेलम्ची नगरपालिका,सिन्धुपाल्चोक,http://melamchimun.gov.np,info@melamchimun.gov.np,011-401089,
२८८,बागमती प्रदेश,ईन्द्रावती गाउँपालिका,सिन्धुपाल्चोक,http://indrawatimun.gov.np,info@indrawatimun.gov.np,01-6203090,
२८९,बागमती प्रदेश,चौतारा सागाचोकगढी नगरपालिका,सिन्धुपाल्चोक,http://chautarasangachowkgadhimun.gov.np,info@chautaramun.gov.np,011-620477,
२९०,बागमती प्रदेश,बलेफी गाउँपालिका,सिन्धुपाल्चोक,http://balephimun.gov.np,info@balephimun.gov.np,011400536,
२९१,बागमती प्रदेश,वाह्रविसे नगरपालिका,सिन्धुपाल्चोक,http://bahrabisemun.gov.np,barhabisemun@gmail.com,011-489003,
२९२,बागमती प्रदेश,त्रिपुरासुन्दरी गाउँपालिका,सिन्धुपाल्चोक,http://tripurasundarimunsindhupalchowk.gov.np,tripurasundarisipa@gmail.com,01-6201663,
२९३,बागमती प्रदेश,लिसंखुपाखर गाउँपालिका,सिन्धुपाल्चोक,http://lisankhupakharmun.gov.np,lisankhupakharmun@gmail.com,011-691118,
२९४,बागमती प्रदेश,सुनकोशी गाउँपालिका,सिन्धुपाल्चोक,http://sunkoshimunsindhupalchowk.gov.np,info@sunkoshimunsindhupalchowk.gov.np,011-482208,
२९५,बागमती प्रदेश,गोसाईंकुण्ड गाउँपालिका,रसुवा,http://gosaikundamun.gov.np,gosaikundapalika@gmail.com,010-541088,
२९६,बागमती प्रदेश,आमाछोदिङमो गाउँपालिका,रसुवा,http://aamachhodingmomun.gov.np,aamachhodingmo@gmail.com,9851235533,
२९७,बागमती प्रदेश,उत्तरगया गाउँपालिका,रसुवा,http://uttargayamun.gov.np,mail@uttargayamun.gov.np,9851254790,
२९८,बागमती प्रदेश,कालिका गाउँपालिका,रसुवा,http://kalikamunrasuwa.gov.np,kalikagaupalika@gmail.com,010-542096,
२९९,बागमती प्रदेश,नौकुण्ड गाउँपालिका,रसुवा,http://naukundamun.gov.np,naukundagaunpalika@gmail.com,016-924824,
३००,बागमती प्रदेश,रुवी भ्याली गाउँपालिका,धादिङ,http://rubivalleymun.gov.np,rubyvalleymun2017@gmail.com,9851170713,
३०१,बागमती प्रदेश,खनियाबास गाउँपालिका,धादिङ,http://khaniyabasmun.gov.np,ito.khaniyabasmun@gmail.com,9851040756,
३०२,बागमती प्रदेश,गङ्गाजमुना गाउँपालिका,धादिङ,http://gangajamunamun.gov.np,info@gangajamunamun.gov.np,9851208915,
३०३,बागमती प्रदेश,त्रिपुरासुन्दरी गाउँपालिका,धादिङ,http://tripurasundarimundhading.gov.np,tripurasundaridhading@gmail.com,9851100510,
३०४,बागमती प्रदेश,नेत्रावती डबजोङ गाउँपालिका,धादिङ,http://netrawatimun.gov.np,netrawatimun@gmail.com,9851100513,
३०५,बागमती प्रदेश,नीलकण्ठ नगरपालिका,धादिङ,http://neelakanthamun.gov.np,info@neelakanthamun.gov.np,010-520568,
३०६,बागमती प्रदेश,ज्वालामूखी गाउँपालिका,धादिङ,http://jwalamukhimun.gov.np,info@jwalamukhimun.gov.np,9851215397,
३०७,बागमती प्रदेश,सिद्धलेक गाउँपालिका,धादिङ,http://siddhalekmun.gov.np,sidhalekhruralmun@gmail.com,9851313553,
३०८,बागमती प्रदेश,बेनीघाट रोराङ्ग गाउँपालिका,धादिङ,http://benighatrorangmun.gov.np,info@benighatrorangmun.gov.np,010-416000,
३०९,बागमती प्रदेश,गजुरी गाउँपालिका,धादिङ,http://gajurimun.gov.np,info@gajurimun.gov.np,010-402142,
३१०,बागमती प्रदेश,गल्छी गाउँपालिका,धादिङ,http://galchhimun.gov.np,info@galchhimun.gov.np,010-403156,
३११,बागमती प्रदेश,थाक्रे गाउँपालिका,धादिङ,http://thakremun.gov.np,info@thakremun.gov.np,01-0415098,
३१२,बागमती प्रदेश,धुनीबेंसी नगरपालिका,धादिङ,http://dhunibeshimun.gov.np,dhunibeshimun@gmail.com,"010401197,",
३१३,बागमती प्रदेश,दुप्चेश्वर गाउँपालिका,नुवाकोट,http://dupcheshwormun.gov.np,dupcherumun2017@gmail.com,9851126899,
३१४,बागमती प्रदेश,तादी गाउँपालिका,नुवाकोट,http://tadimun.gov.np,ito.tadimun@gmail.com,010-630006,
३१५,बागमती प्रदेश,सुर्यगढी गाउँपालिका,नुवाकोट,http://suryagadhimun.gov.np,info@suryagadhimun.gov.np,010-680042,
३१६,बागमती प्रदेश,विदुर नगरपालिका,नुवाकोट,http://bidurmun.gov.np,info@bidurmun.gov.np,010560469,
३१७,बागमती प्रदेश,किस्पाङ गाउँपालिका,नुवाकोट,http://kispangmun.gov.np,info@kispangmun.gov.np,010-681217,
३१८,बागमती प्रदेश,म्यागङ गाउँपालिका,नुवाकोट,http://myagangmun.gov.np,myagangrm@gmail.com,9851219732,
३१९,बागमती प्रदेश,तारकेश्वर गाउँपालिका,नुवाकोट,http://tarakeshwormunnuwakot.gov.np,info@tarakeshwormun.gov.np,010-630001,
३२०,बागमती प्रदेश,बेलकोटगढी नगरपालिका,नुवाकोट,http://belkotgadhimun.gov.np,belkotgadhinagarpalika@gmail.com,9851253022,
३२१,बागमती प्रदेश,लिखु गाउँपालिका,नुवाकोट,http://likhumunnuwakot.gov.np,likhu.nuwakot@gmail.com,010-630022,
३२२,बागमती प्रदेश,पञ्चकन्या गाउँपालिका,नुवाकोट,http://panchakanyamun.gov.np,info@panchakanyamun.gov.np,9863522620,
३२३,बागमती प्रदेश,शिवपुरी गाउँपालिका,नुवाकोट,http://shivapurimun.gov.np,shivapuri.rmun@gmail.com,010620063,
३२४,बागमती प्रदेश,ककनी गाउँपालिका,नुवाकोट,http://kakanimun.gov.np,ito.kakanimun@gmail.com,010-411022,
३२५,बागमती प्रदेश,शंखरापुर नगरपालिका,काठमाण्डौं,http://shankharapurmun.gov.np,shankharapur.municipality@gmail.com,01-4450355,
३२६,बागमती प्रदेश,कागेश्वरी–मनोहरा नगरपालिका,काठमाण्डौं,http://kageshworimanoharamun.gov.np,info@kageshworimanoharamun.gov.np,01-4451242,
३२७,बागमती प्रदेश,गोकर्णेश्वर नगरपालिका,काठमाण्डौं,http://gokarneshwormun.gov.np,gokarneshwormun@gmail.com,01-4914114,
३२८,बागमती प्रदेश,बुढानिलकण्ठ नगरपालिका,काठमाण्डौं,http://budhanilkanthamun.gov.np,info@budhanilkanthamun.gov.np,01-4372725,
३२९,बागमती प्रदेश,टोखा नगरपालिका,काठमाण्डौं,http://tokhamun.gov.np,info@tokhamun.gov.np,01-4385013,
३३०,बागमती प्रदेश,तारकेश्वर नगरपालिका,काठमाण्डौं,http://tarakeshwormun.gov.np,tarakeshwormun2071@gmail.com,01-5168111,
३३१,बागमती प्रदेश,नागार्जुन नगरपालिका,काठमाण्डौं,http://nagarjunmun.gov.np,nagarjun.napa@gmail.com,01-4671716,
३३२,बागमती प्रदेश,काठमाण्डौं महानगरपालिका,काठमाण्डौं,http://kathmandu.gov.np,mayor@kathmandu.gov.np,014231481,
३३३,बागमती प्रदेश,कीर्तिपुर नगरपालिका,काठमाण्डौं,http://kirtipurmun.gov.np,ict.munkirtipur@gmail.com,014331693,
३३४,बागमती प्रदेश,चन्द्रागिरी नगरपालिका,काठमाण्डौं,http://chandragirimun.gov.np,info@chandragirimun.gov.np,01-4315766,
३३५,बागमती प्रदेश,दक्षिणकाली नगरपालिका,काठमाण्डौं,http://dakshinkalimun.gov.np,info@dakshinkalimun.gov.np,01-4710028,
३३६,बागमती प्रदेश,चाँगुनारायण नगरपालिका,भक्तपुर,http://changunarayanmun.gov.np,ito@changunarayanmun.gov.np,01-6614809,
३३७,बागमती प्रदेश,भक्तपुर नगरपालिका,भक्तपुर,http://bhaktapurmun.gov.np,info@bhaktapurmun.gov.np,01-6610096,
३३८,बागमती प्रदेश,मध्यपुर थिमी नगरपालिका,भक्तपुर,http://madhyapurthimimun.gov.np,info@madhyapurthimimun.gov.np,01-6630046,
३३९,बागमती प्रदेश,सूर्यविनायक नगरपालिका,भक्तपुर,http://suryabinayakmun.gov.np,official@suryabinayakmun.gov.np,01-6612193,
३४०,बागमती प्रदेश,महालक्ष्मी नगरपालिका,ललितपुर,http://mahalaxmimun.gov.np,info@mahalaxmimun.gov.np,"015203592,",
३४१,बागमती प्रदेश,ललितपुर महानगरपालिका,ललितपुर,http://lmc.gov.np,info@lmc.gov.np,015522563,
३४२,बागमती प्रदेश,गोदावरी नगरपालिका,ललितपुर,http://godawarimunlalitpur.gov.np,godawari.nagarpalika@gmail.com,015572592,
३४३,बागमती प्रदेश,कोन्ज्योसोम गाउँपालिका,ललितपुर,http://konjyosommun.gov.np,konjyosom2075@gmail.com,9851168250,
३४४,बागमती प्रदेश,महाङ्काल गाउँपालिका,ललितपुर,http://mahankalmun.gov.np,mahankalmun2017@gmail.com,9851320045,
३४५,बागमती प्रदेश,बाग्मती गाउँपालिका,ललितपुर,http://bagmatimunlalitpur.gov.np,bagmatigaupalika@gmail.com,9841335585,
३४६,बागमती प्रदेश,चौंरीदेउराली गाउँपालिका,काभ्रेपलाञ्चोक,http://chaurideuralimun.gov.np,ito.chaurideuralimun@gmail.com,-,
३४७,बागमती प्रदेश,भुम्लु गाउँपालिका,काभ्रेपलाञ्चोक,http://bhumlumun.gov.np,info@bhumlumun.gov.np,9851084808,
३४८,बागमती प्रदेश,मण्डनदेउपुर नगरपालिका,काभ्रेपलाञ्चोक,http://mandandeupurmun.gov.np,mandandeupurmu@gmail.com,011-412114,
३४९,बागमती प्रदेश,बनेपा नगरपालिका,काभ्रेपलाञ्चोक,http://banepamun.gov.np,ict.banepamun@gmail.com,011-662081,
३५०,बागमती प्रदेश,धुलिखेल नगरपालिका,काभ्रेपलाञ्चोक,http://dhulikhelmun.gov.np,info@dhulikhelmun.gov.np,011-490324,
३५१,बागमती प्रदेश,पांचखाल नगरपालिका,काभ्रेपलाञ्चोक,http://panchkhalmun.gov.np,panchkhal.municipality@gmail.com,011-499451,
३५२,बागमती प्रदेश,तेमाल गाउँपालिका,काभ्रेपलाञ्चोक,http://temalmun.gov.np,temalmun2@gmail.com,011691149,
३५३,बागमती प्रदेश,नमोबुद्ध नगरपालिका,काभ्रेपलाञ्चोक,http://namobuddhamun.gov.np,info@namobuddhamun.gov.np,011-404031,
३५४,बागमती प्रदेश,पनौती नगरपालिका,काभ्रेपलाञ्चोक,http://panautimun.gov.np,info@panautimun.gov.np,011440136,
३५५,बागमती प्रदेश,बेथानचोक गाउँपालिका,काभ्रेपलाञ्चोक,http://bethanchowkmun.gov.np,info@bethanchowkmun.gov.np,9851225074,
३५६,बागमती प्रदेश,रोशी गाउँपालिका,काभ्रेपलाञ्चोक,http://roshimun.gov.np,roshi2073@gmail.com,9851201937,
३५७,बागमती प्रदेश,महाभारत गाउँपालिका,काभ्रेपलाञ्चोक,http://mahabharatmun.gov.np,ito.mahabharatmun@gmail.com,9851255781,
३५८,बागमती प्रदेश,खानीखोला गाउँपालिका,काभ्रेपलाञ्चोक,http://khanikholamun.gov.np,info@khanikholamun.gov.np,9851225957,
३५९,बागमती प्रदेश,उमाकुण्ड गाउँपालिका,रामेछाप,http://umakundamun.gov.np,info@umakundamun.gov.np,046-691927,
३६०,बागमती प्रदेश,गोकुलगङ्गा गाउँपालिका,रामेछाप,http://gokulgangamun.gov.np,info@gokulgangamun.gov.np,9863023018,
३६१,बागमती प्रदेश,लिखु तामाकोशी गाउँपालिका,रामेछाप,http://likhumunramechhap.gov.np,ito.likhuramechhapmun@gmail.com,9851035780,
३६२,बागमती प्रदेश,रामेछाप नगरपालिका,रामेछाप,http://ramechhapmun.gov.np,ramechhapmun@gmail.com,048-400012,
३६३,बागमती प्रदेश,मन्थली नगरपालिका,रामेछाप,http://manthalimun.gov.np,info@manthalimun.gov.np,48-540112,
३६४,बागमती प्रदेश,खाँडादेवी गाउँपालिका,रामेछाप,http://khandadevimun.gov.np,khandadevimun@gmail.com,"9854026600,",
३६५,बागमती प्रदेश,दोरम्बा शैलुङ गाउँपालिका,रामेछाप,http://dorambamun.gov.np,info@dorambamun.gov.np,9854043969,
३६६,बागमती प्रदेश,सुनापति गाउँपालिका,रामेछाप,http://sunapatimun.gov.np,ito.sunapatimun@gmail.com,9854043840,
३६७,बागमती प्रदेश,दुधौली नगरपालिका,सिन्धुली,http://dudhaulimun.gov.np,dudhaulinp@gmail.com,047-412045,
३६८,बागमती प्रदेश,फिक्कल गाउँपालिका,सिन्धुली,http://phikkalmun.gov.np,phikkalruralmun@gmail.com,047692026,
३६९,बागमती प्रदेश,तीनपाटन गाउँपालिका,सिन्धुली,http://tinpatanmun.gov.np,info@tinpatanmun.gov.np,9854042220,
३७०,बागमती प्रदेश,गोलन्जोर गाउँपालिका,सिन्धुली,http://golanjormun.gov.np,info@golanjormun.gov.np,047-692025,
३७१,बागमती प्रदेश,कमलामाई नगरपालिका,सिन्धुली,http://kamalamaimun.gov.np,kamalamaimun.sindhuli@gmail.com,047-520245,
३७२,बागमती प्रदेश,सुनकोशी गाउँपालिका,सिन्धुली,http://sunkoshimunsindhuli.gov.np,info@sunkoshimunsindhuli.gov.np,01-6924118,
